315,2214,0.0,24.3,0.0,0.0,68.0,0.0,0.0,0.0,1085.0,1083.5984,0.0,58.0
316,2214,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,921.0,259.4137,0.0,72.0
317,2214,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,815.0,52.293686,0.0,82.0
318,2214,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,759.0,32.738655,0.0,96.0
319,2214,0.0,39.69,0.0,0.0,47.0,0.0,0.0,1279.7354,1309.0,3605.4185,5.0,17.0
320,2214,0.0,103.55426999999999,0.0,0.0,63.0,0.0,0.0,0.0,1373.0,870.56305,0.0,45.0
321,2214,0.0,310.45898,0.0,0.0,14.0,2.0,50.49346,0.0,1203.0,2214.5952,6.0,22.0
322,2214,2.0,492.03055,0.0,1.0,3.0,4.0,73.55136,0.0,1588.0,4071.9656,4.0,7.0
323,2214,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,802.0,127.33568999999999,0.0,84.0
324,2214,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,142.0,0.0,0.0,99.0
325,2214,2.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1562.0,2105.845,0.0,36.0
326,2214,3.0,124.682625,0.0,1.0,22.0,1.0,266.8605,347.0257,1487.0,1172.9363,4.0,11.0
327,2214,0.0,138.99655,0.0,0.0,73.0,0.0,0.0,0.0,985.0,834.9543,0.0,69.0
328,2214,0.0,99.99999,0.0,0.0,36.0,1.0,0.0,0.0,1030.0,528.2167400000001,0.0,62.0
329,2214,7.0,816.2905,3.0,1.0,2.0,10.0,293.6409,0.0,1691.0,5234.36,6.0,4.0
330,2214,1.0,100.0,1.0,1.0,29.0,1.0,0.8481042999999999,0.0,983.0,1418.8666,6.0,32.0
331,2214,4.0,179.19998,0.0,4.0,11.0,2.0,164.38503,736.3047,1774.0,2793.191,8.0,3.0
332,2214,0.0,129.4,0.0,0.0,32.0,1.0,5.9299026,0.0,697.0,755.61975,7.0,46.0
333,2214,5.0,230.85,0.0,2.0,7.0,3.0,20.621347,621.8759,1646.0,3524.2783,6.0,5.0
334,2214,1.0,162.42078999999998,0.0,5.0,10.0,2.0,108.668884,2916.2273,1876.0,2333.39,5.0,1.0
