,name,account_id,season,rank,assists,damageDealt,days,headshotKills,heals,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,wins
0,lilblackhooper,account.2b187fd449044dd9aac0a54e3dad7950,xbox-01,94,135,231629.6,117,409,1798,1785,307.67477,2186.333,1793,2,2186.333,4158917.2,56,9,1836,38,11569.151,1654829.4,370,36,2687432.8,7483,43
0,chillin solo,account.ba44a55b2a35491b8973660f585a3ac4,xbox-02,94,41,49357.18,46,76,284,383,387.97366,2052.069,278,2,2052.069,908617.06,17,7,288,6,1529.5211,338995.2,108,8,476811.38,1375,10
0,Makyio,account.29008cc8d07b4f5b9aac8c76ecc1343b,xbox-01,95,101,168903.7,108,248,1823,1249,270.42053,2132.617,1567,3,2132.617,923460.9,19,8,1577,39,15920.833,1325577.9,214,37,2350411.5,6799,10
0,o0AnSchlag0o,account.db3b9c80d9704a6f9ca7202eb39c3056,xbox-02,95,16,42139.137,18,90,142,378,244.44917,1910.692,135,2,1910.692,152816.83,2,10,138,0,339.8016,129863.766,21,4,225798.47,691,3
0,TILLNIGHTEND10,account.d5160bc1b1b0401998f9d1e03929f6cd,xbox-01,96,195,527539.2,110,1014,1940,4789,364.58633,2143.408,1403,2,2143.408,1621026.5,108,16,1535,29,1319.5767,1495287.9,420,22,1504776.5,8330,133
0,DDAYWWII,account.570ac989b021464bb4b9e878dc1bf2e8,xbox-02,96,63,125137.22,115,214,1280,1163,180.52576,2189.924,1377,3,2189.924,812314.7,8,8,1391,20,5628.593,1469751.4,333,4,1715793.2,6744,14
0,CL33ZY,account.d3cc036bcd304e49aa4c847fac275a2f,xbox-02,97,63,84186.94,72,146,621,637,337.5958,1982.369,648,2,1982.369,679179.4,8,7,653,15,813.0876,562102.2,85,13,639068.75,3469,5
0,MediumFidelity,account.ee8f7ae33d1f4ef496ee8914f7c1893e,xbox-01,97,139,256009.95,104,525,1555,2080,478.61996,2143.84,909,3,2143.84,2071048.9,16,12,985,18,6858.107,1238017.1,380,26,2087192.1,5962,77
0,C4iSR FireScout,account.4ba6a3b39e0d44fbb3b335d495ad2d3c,xbox-02,98,97,107223.29,80,230,1523,846,363.66083,2050.799,890,7,2050.799,1410608.9,19,9,907,36,8659.229,841726.44,192,84,1056474.4,2898,17
0,NICOLASFABRI,account.ebbe5d32f27c43f58bdd912ab598b91b,xbox-01,98,218,347010.5,116,732,2042,3067,298.0795,2185.38,1996,11,2185.38,3027365.0,198,11,2016,24,16123.72,1540447.6,330,70,2257151.5,8273,20
